Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,009225,2018,08,19,16.5
IDCJAC0016,009225,2018,08,20,12.3
IDCJAC0016,009225,2018,08,21,8.3
IDCJAC0016,009225,2018,08,22,14.9
IDCJAC0016,009225,2018,08,23,16.9
IDCJAC0016,009225,2018,08,24,17.2
IDCJAC0016,009225,2018,08,25,17.4
IDCJAC0016,009225,2018,08,26,17.5
IDCJAC0016,009225,2018,08,27,14.6
IDCJAC0016,009225,2018,08,28,8.9
IDCJAC0016,009225,2018,08,29,10.9
IDCJAC0016,009225,2018,08,30,15.3
IDCJAC0016,009225,2018,08,31,14.3
IDCJAC0016,009225,2018,09,01,18.0
IDCJAC0016,009225,2018,09,02,17.9
IDCJAC0016,009225,2018,09,03,17.2
IDCJAC0016,009225,2018,09,04,14.9
IDCJAC0016,009225,2018,09,05,15.2
IDCJAC0016,009225,2018,09,06,15.9
IDCJAC0016,009225,2018,09,07,14.2
IDCJAC0016,009225,2018,09,08,15.0
IDCJAC0016,009225,2018,09,09,19.7
IDCJAC0016,009225,2018,09,10,17.5
IDCJAC0016,009225,2018,09,11,16.2
IDCJAC0016,009225,2018,09,12,14.2
IDCJAC0016,009225,2018,09,13,16.2
IDCJAC0016,009225,2018,09,14,16.9
IDCJAC0016,009225,2018,09,15,20.8
IDCJAC0016,009225,2018,09,16,20.1
IDCJAC0016,009225,2018,09,17,17.4
IDCJAC0016,009225,2018,09,18,20.9
IDCJAC0016,009225,2018,09,19,20.5
IDCJAC0016,009225,2018,09,20,21.7
IDCJAC0016,009225,2018,09,21,20.4
IDCJAC0016,009225,2018,09,22,21.8
IDCJAC0016,009225,2018,09,23,22.1
IDCJAC0016,009225,2018,09,24,18.8
IDCJAC0016,009225,2018,09,25,17.1
IDCJAC0016,009225,2018,09,26,19.7
IDCJAC0016,009225,2018,09,27,21.9
IDCJAC0016,009225,2018,09,28,22.2
IDCJAC0016,009225,2018,09,29,9.7
IDCJAC0016,009225,2018,09,30,23.1
IDCJAC0016,009225,2018,10,01,10.8
IDCJAC0016,009225,2018,10,02,22.3
IDCJAC0016,009225,2018,10,03,17.4
IDCJAC0016,009225,2018,10,04,18.4
IDCJAC0016,009225,2018,10,05,20.0
IDCJAC0016,009225,2018,10,06,12.3
IDCJAC0016,009225,2018,10,07,21.5
IDCJAC0016,009225,2018,10,08,19.0
IDCJAC0016,009225,2018,10,09,22.5
IDCJAC0016,009225,2018,10,10,18.6
IDCJAC0016,009225,2018,10,11,24.2
IDCJAC0016,009225,2018,10,12,10.3
IDCJAC0016,009225,2018,10,13,18.6
IDCJAC0016,009225,2018,10,14,15.6
IDCJAC0016,009225,2018,10,15,24.9
IDCJAC0016,009225,2018,10,16,26.0
IDCJAC0016,009225,2018,10,17,26.1
IDCJAC0016,009225,2018,10,18,18.0
IDCJAC0016,009225,2018,10,19,18.2
IDCJAC0016,009225,2018,10,20,14.8
IDCJAC0016,009225,2018,10,21,19.5
IDCJAC0016,009225,2018,10,22,19.3
IDCJAC0016,009225,2018,10,23,24.1
IDCJAC0016,009225,2018,10,24,17.5
IDCJAC0016,009225,2018,10,25,27.3
IDCJAC0016,009225,2018,10,26,27.5
IDCJAC0016,009225,2018,10,27,27.6
IDCJAC0016,009225,2018,10,28,27.8
IDCJAC0016,009225,2018,10,29,27.2
IDCJAC0016,009225,2018,10,30,26.4
IDCJAC0016,009225,2018,10,31,24.6
IDCJAC0016,009225,2018,11,01,23.9
IDCJAC0016,009225,2018,11,02,19.6
IDCJAC0016,009225,2018,11,03,27.4
IDCJAC0016,009225,2018,11,04,27.5
IDCJAC0016,009225,2018,11,05,22.0
IDCJAC0016,009225,2018,11,06,24.9
IDCJAC0016,009225,2018,11,07,29.2
IDCJAC0016,009225,2018,11,08,29.0
IDCJAC0016,009225,2018,11,09,27.2
IDCJAC0016,009225,2018,11,10,23.3
IDCJAC0016,009225,2018,11,11,26.6
IDCJAC0016,009225,2018,11,12,28.2
IDCJAC0016,009225,2018,11,13,24.3
IDCJAC0016,009225,2018,11,14,30.0
IDCJAC0016,009225,2018,11,15,29.9
IDCJAC0016,009225,2018,11,16,29.8
IDCJAC0016,009225,2018,11,17,18.0
IDCJAC0016,009225,2018,11,18,24.6
IDCJAC0016,009225,2018,11,19,22.0
IDCJAC0016,009225,2018,11,20,30.6
IDCJAC0016,009225,2018,11,21,30.7
IDCJAC0016,009225,2018,11,22,19.7
IDCJAC0016,009225,2018,11,23,30.8
IDCJAC0016,009225,2018,11,24,30.3
IDCJAC0016,009225,2018,11,25,24.8
IDCJAC0016,009225,2018,11,26,31.1
IDCJAC0016,009225,2018,11,27,31.1
IDCJAC0016,009225,2018,11,28,31.2
IDCJAC0016,009225,2018,11,29,31.3
IDCJAC0016,009225,2018,11,30,31.3
IDCJAC0016,009225,2018,12,01,21.2
IDCJAC0016,009225,2018,12,02,31.5
IDCJAC0016,009225,2018,12,03,31.1
IDCJAC0016,009225,2018,12,04,16.0
IDCJAC0016,009225,2018,12,05,29.8
IDCJAC0016,009225,2018,12,06,29.2
IDCJAC0016,009225,2018,12,07,30.8
IDCJAC0016,009225,2018,12,08,31.8
IDCJAC0016,009225,2018,12,09,31.8
IDCJAC0016,009225,2018,12,10,31.7
IDCJAC0016,009225,2018,12,11,25.0
IDCJAC0016,009225,2018,12,12,24.1
IDCJAC0016,009225,2018,12,13,31.9
IDCJAC0016,009225,2018,12,14,31.9
IDCJAC0016,009225,2018,12,15,16.0
IDCJAC0016,009225,2018,12,16,23.8
IDCJAC0016,009225,2018,12,17,31.0
IDCJAC0016,009225,2018,12,18,32.0
IDCJAC0016,009225,2018,12,19,32.0
IDCJAC0016,009225,2018,12,20,32.0
IDCJAC0016,009225,2018,12,21,31.9
IDCJAC0016,009225,2018,12,22,30.5
IDCJAC0016,009225,2018,12,23,26.8
IDCJAC0016,009225,2018,12,24,31.9
IDCJAC0016,009225,2018,12,25,31.2
IDCJAC0016,009225,2018,12,26,20.1
IDCJAC0016,009225,2018,12,27,29.7
IDCJAC0016,009225,2018,12,28,29.5
IDCJAC0016,009225,2018,12,29,31.8
IDCJAC0016,009225,2018,12,30,31.9
IDCJAC0016,009225,2018,12,31,31.7
