Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2018,06,26,19.0,1,Y
IDCJAC0010,009225,2018,06,27,16.6,1,Y
IDCJAC0010,009225,2018,06,28,17.2,1,Y
IDCJAC0010,009225,2018,06,29,17.0,1,Y
IDCJAC0010,009225,2018,06,30,18.5,1,Y
IDCJAC0010,009225,2018,07,01,22.0,1,N
IDCJAC0010,009225,2018,07,02,18.6,1,N
IDCJAC0010,009225,2018,07,03,19.1,1,N
IDCJAC0010,009225,2018,07,04,18.9,1,N
IDCJAC0010,009225,2018,07,05,16.0,1,N
IDCJAC0010,009225,2018,07,06,18.5,1,N
IDCJAC0010,009225,2018,07,07,16.8,1,N
IDCJAC0010,009225,2018,07,08,19.7,1,N
IDCJAC0010,009225,2018,07,09,21.7,1,N
IDCJAC0010,009225,2018,07,10,22.8,1,N
IDCJAC0010,009225,2018,07,11,19.8,1,N
IDCJAC0010,009225,2018,07,12,20.5,1,N
IDCJAC0010,009225,2018,07,13,19.3,1,N
IDCJAC0010,009225,2018,07,14,17.1,1,N
IDCJAC0010,009225,2018,07,15,17.8,1,N
IDCJAC0010,009225,2018,07,16,18.2,1,N
IDCJAC0010,009225,2018,07,17,18.8,1,N
IDCJAC0010,009225,2018,07,18,18.7,1,N
IDCJAC0010,009225,2018,07,19,18.4,1,N
IDCJAC0010,009225,2018,07,20,20.5,1,N
IDCJAC0010,009225,2018,07,21,20.1,1,N
IDCJAC0010,009225,2018,07,22,18.8,1,N
IDCJAC0010,009225,2018,07,23,19.4,1,N
IDCJAC0010,009225,2018,07,24,18.9,1,N
IDCJAC0010,009225,2018,07,25,20.7,1,N
IDCJAC0010,009225,2018,07,26,20.3,1,N
IDCJAC0010,009225,2018,07,27,17.5,1,N
IDCJAC0010,009225,2018,07,28,17.7,1,N
IDCJAC0010,009225,2018,07,29,19.8,1,N
IDCJAC0010,009225,2018,07,30,18.6,1,N
IDCJAC0010,009225,2018,07,31,19.7,1,N
IDCJAC0010,009225,2018,08,01,16.1,1,Y
IDCJAC0010,009225,2018,08,02,16.9,1,Y
IDCJAC0010,009225,2018,08,03,18.1,1,Y
IDCJAC0010,009225,2018,08,04,14.8,1,Y
IDCJAC0010,009225,2018,08,05,14.5,1,Y
IDCJAC0010,009225,2018,08,06,15.4,1,Y
IDCJAC0010,009225,2018,08,07,19.4,1,Y
IDCJAC0010,009225,2018,08,08,18.4,1,Y
IDCJAC0010,009225,2018,08,09,15.8,1,Y
IDCJAC0010,009225,2018,08,10,14.8,1,Y
IDCJAC0010,009225,2018,08,11,17.0,1,Y
IDCJAC0010,009225,2018,08,12,21.4,1,Y
IDCJAC0010,009225,2018,08,13,22.4,1,Y
IDCJAC0010,009225,2018,08,14,18.4,1,Y
IDCJAC0010,009225,2018,08,15,18.0,1,Y
IDCJAC0010,009225,2018,08,16,18.7,1,Y
IDCJAC0010,009225,2018,08,17,17.9,1,Y
IDCJAC0010,009225,2018,08,18,18.5,1,Y
IDCJAC0010,009225,2018,08,19,24.3,1,Y
IDCJAC0010,009225,2018,08,20,25.3,1,Y
IDCJAC0010,009225,2018,08,21,19.4,1,Y
IDCJAC0010,009225,2018,08,22,16.6,1,Y
IDCJAC0010,009225,2018,08,23,18.1,1,Y
IDCJAC0010,009225,2018,08,24,20.3,1,Y
IDCJAC0010,009225,2018,08,25,21.0,1,Y
IDCJAC0010,009225,2018,08,26,22.3,1,Y
IDCJAC0010,009225,2018,08,27,20.0,1,Y
IDCJAC0010,009225,2018,08,28,18.4,1,Y
IDCJAC0010,009225,2018,08,29,14.4,1,Y
IDCJAC0010,009225,2018,08,30,17.2,1,Y
IDCJAC0010,009225,2018,08,31,17.4,1,Y
IDCJAC0010,009225,2018,09,01,19.2,1,Y
IDCJAC0010,009225,2018,09,02,20.0,1,Y
IDCJAC0010,009225,2018,09,03,20.9,1,Y
IDCJAC0010,009225,2018,09,04,18.9,1,Y
IDCJAC0010,009225,2018,09,05,15.7,1,Y
IDCJAC0010,009225,2018,09,06,16.6,1,Y
IDCJAC0010,009225,2018,09,07,19.1,1,Y
IDCJAC0010,009225,2018,09,08,20.1,1,Y
IDCJAC0010,009225,2018,09,09,22.1,1,Y
IDCJAC0010,009225,2018,09,10,20.7,1,Y
IDCJAC0010,009225,2018,09,11,16.7,1,Y
IDCJAC0010,009225,2018,09,12,17.5,1,Y
IDCJAC0010,009225,2018,09,13,19.1,1,Y
IDCJAC0010,009225,2018,09,14,17.4,1,Y
IDCJAC0010,009225,2018,09,15,19.2,1,Y
IDCJAC0010,009225,2018,09,16,17.8,1,Y
IDCJAC0010,009225,2018,09,17,17.5,1,Y
IDCJAC0010,009225,2018,09,18,19.2,1,Y
IDCJAC0010,009225,2018,09,19,19.8,1,Y
IDCJAC0010,009225,2018,09,20,26.2,1,Y
IDCJAC0010,009225,2018,09,21,25.0,1,Y
IDCJAC0010,009225,2018,09,22,28.0,1,Y
IDCJAC0010,009225,2018,09,23,26.9,1,Y
IDCJAC0010,009225,2018,09,24,22.1,1,Y
IDCJAC0010,009225,2018,09,25,21.5,1,Y
IDCJAC0010,009225,2018,09,26,20.9,1,Y
IDCJAC0010,009225,2018,09,27,21.9,1,Y
IDCJAC0010,009225,2018,09,28,23.6,1,Y
IDCJAC0010,009225,2018,09,29,19.6,1,Y
IDCJAC0010,009225,2018,09,30,21.8,1,Y
IDCJAC0010,009225,2018,10,01,20.5,1,Y
IDCJAC0010,009225,2018,10,02,23.3,1,Y
IDCJAC0010,009225,2018,10,03,21.0,1,Y
IDCJAC0010,009225,2018,10,04,24.1,1,Y
IDCJAC0010,009225,2018,10,05,22.7,1,Y
IDCJAC0010,009225,2018,10,06,22.1,1,Y
IDCJAC0010,009225,2018,10,07,23.4,1,Y
IDCJAC0010,009225,2018,10,08,26.7,1,Y
IDCJAC0010,009225,2018,10,09,29.7,1,Y
IDCJAC0010,009225,2018,10,10,27.6,1,Y
IDCJAC0010,009225,2018,10,11,24.1,1,Y
IDCJAC0010,009225,2018,10,12,20.3,1,Y
IDCJAC0010,009225,2018,10,13,21.0,1,Y
IDCJAC0010,009225,2018,10,14,18.7,1,Y
IDCJAC0010,009225,2018,10,15,21.4,1,Y
IDCJAC0010,009225,2018,10,16,27.0,1,Y
IDCJAC0010,009225,2018,10,17,29.7,1,Y
IDCJAC0010,009225,2018,10,18,18.5,1,Y
IDCJAC0010,009225,2018,10,19,20.0,1,Y
IDCJAC0010,009225,2018,10,20,19.8,1,Y
IDCJAC0010,009225,2018,10,21,21.6,1,Y
IDCJAC0010,009225,2018,10,22,20.0,1,Y
IDCJAC0010,009225,2018,10,23,21.5,1,Y
IDCJAC0010,009225,2018,10,24,20.7,1,Y
IDCJAC0010,009225,2018,10,25,25.5,1,Y
IDCJAC0010,009225,2018,10,26,28.7,1,Y
IDCJAC0010,009225,2018,10,27,26.1,1,Y
IDCJAC0010,009225,2018,10,28,28.1,1,Y
IDCJAC0010,009225,2018,10,29,24.5,1,Y
IDCJAC0010,009225,2018,10,30,25.3,1,Y
IDCJAC0010,009225,2018,10,31,25.7,1,Y
IDCJAC0010,009225,2018,11,01,21.8,1,Y
IDCJAC0010,009225,2018,11,02,22.6,1,Y
IDCJAC0010,009225,2018,11,03,26.1,1,Y
IDCJAC0010,009225,2018,11,04,22.0,1,Y
IDCJAC0010,009225,2018,11,05,19.7,1,Y
IDCJAC0010,009225,2018,11,06,19.6,1,Y
IDCJAC0010,009225,2018,11,07,23.6,1,Y
IDCJAC0010,009225,2018,11,08,27.3,1,Y
IDCJAC0010,009225,2018,11,09,33.8,1,Y
IDCJAC0010,009225,2018,11,10,25.8,1,Y
IDCJAC0010,009225,2018,11,11,23.4,1,Y
IDCJAC0010,009225,2018,11,12,24.2,1,Y
IDCJAC0010,009225,2018,11,13,26.0,1,Y
IDCJAC0010,009225,2018,11,14,31.5,1,Y
IDCJAC0010,009225,2018,11,15,32.3,1,Y
IDCJAC0010,009225,2018,11,16,35.9,1,Y
IDCJAC0010,009225,2018,11,17,24.5,1,Y
IDCJAC0010,009225,2018,11,18,24.1,1,Y
IDCJAC0010,009225,2018,11,19,21.2,1,Y
IDCJAC0010,009225,2018,11,20,21.1,1,Y
IDCJAC0010,009225,2018,11,21,26.3,1,Y
IDCJAC0010,009225,2018,11,22,29.6,1,Y
IDCJAC0010,009225,2018,11,23,24.2,1,Y
IDCJAC0010,009225,2018,11,24,23.4,1,Y
IDCJAC0010,009225,2018,11,25,22.9,1,Y
IDCJAC0010,009225,2018,11,26,23.2,1,Y
IDCJAC0010,009225,2018,11,27,26.8,1,Y
IDCJAC0010,009225,2018,11,28,25.8,1,Y
IDCJAC0010,009225,2018,11,29,25.0,1,Y
IDCJAC0010,009225,2018,11,30,22.5,1,Y
IDCJAC0010,009225,2018,12,01,23.0,1,Y
IDCJAC0010,009225,2018,12,02,30.0,1,Y
IDCJAC0010,009225,2018,12,03,37.8,1,Y
IDCJAC0010,009225,2018,12,04,23.4,1,Y
IDCJAC0010,009225,2018,12,05,24.9,1,Y
IDCJAC0010,009225,2018,12,06,22.8,1,Y
IDCJAC0010,009225,2018,12,07,25.1,1,Y
IDCJAC0010,009225,2018,12,08,28.6,1,Y
IDCJAC0010,009225,2018,12,09,30.0,1,Y
IDCJAC0010,009225,2018,12,10,28.8,1,Y
IDCJAC0010,009225,2018,12,11,23.4,1,Y
IDCJAC0010,009225,2018,12,12,26.8,1,Y
IDCJAC0010,009225,2018,12,13,33.4,1,Y
IDCJAC0010,009225,2018,12,14,39.1,1,Y
IDCJAC0010,009225,2018,12,15,29.1,1,Y
IDCJAC0010,009225,2018,12,16,29.7,1,Y
IDCJAC0010,009225,2018,12,17,26.8,1,Y
IDCJAC0010,009225,2018,12,18,25.4,1,Y
IDCJAC0010,009225,2018,12,19,27.9,1,Y
IDCJAC0010,009225,2018,12,20,33.3,1,Y
IDCJAC0010,009225,2018,12,21,37.2,1,Y
IDCJAC0010,009225,2018,12,22,41.2,1,Y
IDCJAC0010,009225,2018,12,23,34.7,1,Y
IDCJAC0010,009225,2018,12,24,32.7,1,Y
IDCJAC0010,009225,2018,12,25,33.5,1,Y
IDCJAC0010,009225,2018,12,26,28.2,1,Y
IDCJAC0010,009225,2018,12,27,26.7,1,Y
IDCJAC0010,009225,2018,12,28,25.4,1,Y
IDCJAC0010,009225,2018,12,29,27.6,1,Y
IDCJAC0010,009225,2018,12,30,28.9,1,Y
IDCJAC0010,009225,2018,12,31,31.6,1,Y
